	precision	recall	f1-score	support	experiment
aquatic products	0.8034188034188035	0.8663594470046083	0.8337028824833703	217.0	Source_1_up
cattle	0.8021978021978022	0.8081180811808119	0.8051470588235293	271.0	Source_1_up
chicken	0.8620689655172413	0.792507204610951	0.8258258258258258	347.0	Source_1_up
game	0.0	0.0	0.0	5.0	Source_1_up
plants	0.29411764705882354	0.25	0.27027027027027023	20.0	Source_1_up
small ruminants	0.17142857142857143	0.17142857142857143	0.17142857142857143	35.0	Source_1_up
swine	0.5384615384615384	0.3888888888888889	0.45161290322580644	18.0	Source_1_up
turkey	0.4807692307692308	0.7352941176470589	0.5813953488372092	34.0	Source_1_up
accuracy	0.7655755015839493	0.7655755015839493	0.7655755015839493	0.7655755015839493	Source_1_up
macro avg	0.49405781985650143	0.5015745388451113	0.4924228576118228	947.0	Source_1_up
weighted avg	0.769584192451537	0.7655755015839493	0.7655457439551894	947.0	Source_1_up
