	precision	recall	f1-score	support	experiment
dairy	0.8333333333333334	0.8333333333333334	0.8333333333333334	12.0	Source_2
eel	0.46153846153846156	0.6	0.5217391304347826	10.0	Source_2
feces	0.3333333333333333	0.15789473684210525	0.21428571428571427	19.0	Source_2
fresh meat	0.7267552182163188	0.8530066815144766	0.7848360655737705	449.0	Source_2
herring	0.8333333333333334	0.7317073170731707	0.7792207792207793	41.0	Source_2
mackerel	0.0	0.0	0.0	12.0	Source_2
processed meat	0.567741935483871	0.44221105527638194	0.4971751412429379	199.0	Source_2
salmon	0.8117647058823529	0.7931034482758621	0.8023255813953488	87.0	Source_2
shrimp	0.45454545454545453	0.5	0.47619047619047616	10.0	Source_2
spices/herbs/vegetables	0.4	0.2	0.26666666666666666	20.0	Source_2
trout	0.8958333333333334	0.8431372549019608	0.8686868686868686	51.0	Source_2
accuracy	0.7043956043956044	0.7043956043956044	0.7043956043956044	0.7043956043956044	Source_2
macro avg	0.5743799189999811	0.5413085297470265	0.5494963415482436	910.0	Source_2
weighted avg	0.6849072601241992	0.7043956043956044	0.6887546289598457	910.0	Source_2
