	precision	recall	f1-score	support	experiment
dairy, cattle	0.7692307692307693	0.8333333333333334	0.8	12.0	Source_2n1
eel, aquatic products	0.5	0.4	0.4444444444444445	10.0	Source_2n1
feces, small ruminants	0.09090909090909091	0.0625	0.07407407407407407	16.0	Source_2n1
fresh meat, cattle	0.6013513513513513	0.5973154362416108	0.5993265993265993	149.0	Source_2n1
fresh meat, chicken	0.6354515050167224	0.7661290322580645	0.6946983546617916	248.0	Source_2n1
fresh meat, game	0.0	0.0	0.0	5.0	Source_2n1
fresh meat, small ruminants	0.0	0.0	0.0	13.0	Source_2n1
fresh meat, swine	0.3333333333333333	0.2727272727272727	0.3	11.0	Source_2n1
fresh meat, turkey	0.5714285714285714	0.5217391304347826	0.5454545454545454	23.0	Source_2n1
herring, aquatic products	0.7777777777777778	0.6829268292682927	0.7272727272727273	41.0	Source_2n1
mackerel, aquatic products	0.0	0.0	0.0	12.0	Source_2n1
processed meat, cattle	0.5555555555555556	0.5909090909090909	0.5726872246696034	110.0	Source_2n1
processed meat, chicken	0.3958333333333333	0.27941176470588236	0.3275862068965517	68.0	Source_2n1
processed meat, swine	0.2222222222222222	0.2857142857142857	0.25	7.0	Source_2n1
processed meat, turkey	0.16666666666666666	0.09090909090909091	0.11764705882352942	11.0	Source_2n1
salmon, aquatic products	0.8214285714285714	0.7931034482758621	0.8070175438596492	87.0	Source_2n1
shrimp, aquatic products	0.7142857142857143	0.5	0.588235294117647	10.0	Source_2n1
spices/herbs/vegetables, plants	0.38461538461538464	0.25	0.30303030303030304	20.0	Source_2n1
trout, aquatic products	0.7543859649122807	0.8431372549019608	0.7962962962962964	51.0	Source_2n1
accuracy	0.6039823008849557	0.6039823008849557	0.6039823008849557	0.6039823008849557	Source_2n1
macro avg	0.43655135852986027	0.40893978787786994	0.41830371962777696	904.0	Source_2n1
weighted avg	0.5838128909356963	0.6039823008849557	0.5902193496763467	904.0	Source_2n1
