	precision	recall	f1-score	support	experiment
dairy, cattle	0.8333333333333334	0.8333333333333334	0.8333333333333334	12.0	Source_2n1_up
eel, aquatic products	0.5555555555555556	0.5	0.5263157894736842	10.0	Source_2n1_up
feces, small ruminants	0.0	0.0	0.0	16.0	Source_2n1_up
fresh meat, cattle	0.6	0.6040268456375839	0.6020066889632107	149.0	Source_2n1_up
fresh meat, chicken	0.6738197424892703	0.6330645161290323	0.6528066528066528	248.0	Source_2n1_up
fresh meat, game	0.0	0.0	0.0	5.0	Source_2n1_up
fresh meat, small ruminants	0.0	0.0	0.0	13.0	Source_2n1_up
fresh meat, swine	0.375	0.2727272727272727	0.3157894736842105	11.0	Source_2n1_up
fresh meat, turkey	0.5294117647058824	0.391304347826087	0.45	23.0	Source_2n1_up
herring, aquatic products	0.7837837837837838	0.7073170731707317	0.7435897435897435	41.0	Source_2n1_up
mackerel, aquatic products	0.0	0.0	0.0	12.0	Source_2n1_up
processed meat, cattle	0.532258064516129	0.6	0.5641025641025641	110.0	Source_2n1_up
processed meat, chicken	0.3055555555555556	0.3235294117647059	0.31428571428571433	68.0	Source_2n1_up
processed meat, swine	0.2222222222222222	0.2857142857142857	0.25	7.0	Source_2n1_up
processed meat, turkey	0.1875	0.5454545454545454	0.27906976744186046	11.0	Source_2n1_up
salmon, aquatic products	0.8170731707317073	0.7701149425287356	0.7928994082840236	87.0	Source_2n1_up
shrimp, aquatic products	0.7142857142857143	0.5	0.588235294117647	10.0	Source_2n1_up
spices/herbs/vegetables, plants	0.3333333333333333	0.25	0.28571428571428575	20.0	Source_2n1_up
trout, aquatic products	0.7543859649122807	0.8431372549019608	0.7962962962962964	51.0	Source_2n1_up
accuracy	0.5741150442477876	0.5741150442477876	0.5741150442477876	0.5741150442477876	Source_2n1_up
macro avg	0.4325009581802509	0.42419599100990923	0.42076026379438036	904.0	Source_2n1_up
weighted avg	0.5827569156195589	0.5741150442477876	0.5758866642653377	904.0	Source_2n1_up
