	dairy, cattle	eel, aquatic products	feces, small ruminants	fresh meat, cattle	fresh meat, chicken	fresh meat, game	fresh meat, small ruminants	fresh meat, swine	fresh meat, turkey	herring, aquatic products	mackerel, aquatic products	processed meat, cattle	processed meat, chicken	processed meat, swine	processed meat, turkey	salmon, aquatic products	shrimp, aquatic products	spices/herbs/vegetables, plants	trout, aquatic products
dairy, cattle	10	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
eel, aquatic products	0	5	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0
feces, small ruminants	1	0	0	3	4	0	0	0	1	0	0	3	1	0	1	0	1	0	1
fresh meat, cattle	0	1	3	90	7	1	2	2	0	1	1	30	1	3	0	2	0	2	3
fresh meat, chicken	0	0	2	7	157	0	2	1	4	1	3	11	41	1	13	0	0	2	3
fresh meat, game	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
fresh meat, small ruminants	0	0	0	5	3	0	0	0	0	0	1	2	0	1	0	0	0	0	1
fresh meat, swine	0	0	0	3	2	0	0	3	0	0	0	1	0	2	0	0	0	0	0
fresh meat, turkey	1	0	1	0	4	0	0	0	9	0	0	0	0	0	8	0	0	0	0
herring, aquatic products	0	0	0	6	2	0	0	0	0	29	3	1	0	0	0	0	0	0	0
mackerel, aquatic products	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	4	0	1	3
processed meat, cattle	0	0	4	20	8	1	1	0	0	2	1	66	3	0	0	3	0	1	0
processed meat, chicken	0	0	0	4	30	1	0	0	0	0	0	6	22	0	4	0	0	1	0
processed meat, swine	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	1	0
processed meat, turkey	0	0	0	0	2	0	0	0	2	0	0	0	1	0	6	0	0	0	0
salmon, aquatic products	0	1	0	3	3	0	0	0	0	0	7	2	1	0	0	67	0	1	2
shrimp, aquatic products	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	5	1	0
spices/herbs/vegetables, plants	0	0	0	2	6	0	0	0	0	1	2	0	1	0	0	1	1	5	1
trout, aquatic products	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	4	0	0	43
