	aaaa	bbb	bbbbb	ccc	ddd	dddd	gg	ggg	hhh	hhhh	iii	iiii	j	jj	jjj	kk	kkk	mmm	nnnn	ooo	q	qq	rr	s	tt	uuuu	v	wwww	x	xxxx
aaaa	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bbb	0	11	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
bbbbb	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0
ccc	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ddd	0	1	0	0	6	0	1	3	0	2	0	1	0	1	0	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0
dddd	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
gg	0	0	0	0	0	0	9	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ggg	0	0	0	0	2	1	0	11	0	0	0	0	1	6	1	1	0	0	0	0	0	5	2	0	1	0	0	0	0	0
hhh	2	0	0	0	0	0	0	1	12	0	1	0	1	1	0	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0
hhhh	0	0	0	0	1	0	0	1	0	6	0	0	0	1	0	0	0	1	0	0	11	0	0	0	0	1	0	0	0	0
iii	2	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0
iiii	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1
j	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jj	0	0	0	9	0	0	2	1	0	1	0	0	1	50	0	1	0	6	0	0	2	2	2	0	0	1	0	0	0	0
jjj	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
kk	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0
kkk	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0
mmm	0	0	1	0	0	0	0	0	2	1	8	0	0	3	4	0	3	18	0	0	0	0	0	0	0	0	0	0	0	0
nnnn	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0
ooo	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0
q	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0
qq	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0
rr	1	0	1	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
tt	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	2	1	0	3	0	0	0	0	0
uuuu	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	7	0	0	0	0
v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
wwww	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0
x	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
xxxx	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
