	samples	labels	predictions	aquatic products	cattle	chicken	game	plants	small ruminants	swine	turkey	experiment
0	L80	chicken	chicken	0.18331503841931943	0.015367727771679473	0.6652030735455543	0.0	0.005488474204171241	0.12403951701427003	0.0	0.006586169045005488	Source_1_up
1	L00351	plants	plants	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Source_1_up
2	L00363	cattle	cattle	0.02305159165751921	0.9600500439759736	0.008964507866813026	0.0021953896816684962	0.0	0.0024453822955230868	0.0	0.003293084522502744	Source_1_up
3	L00574	cattle	cattle	0.012074643249176729	0.9240395170142702	0.061690450054884736	0.0	0.0	0.0	0.0021953896816684962	0.0	Source_1_up
4	L00656	turkey	turkey	0.014853303462279631	0.003293084522502744	0.12126085680116709	0.0	0.0	0.0	0.0	0.8605927552140505	Source_1_up
5	L00658	cattle	cattle	0.0	0.9978046103183315	0.0021953896816684962	0.0	0.0	0.0	0.0	0.0	Source_1_up
6	L00712	chicken	chicken	0.00019408517475620038	0.0	0.9998059148252437	0.0	0.0	0.0	0.0	0.0	Source_1_up
7	L00804	chicken	chicken	0.0	0.18718137271924326	0.8128186272807565	0.0	0.0	0.0	0.0	0.0	Source_1_up
8	L00840	chicken	aquatic products	0.6158068057080132	0.0889132821075741	0.27340442214207306	0.0010976948408342481	0.004312372588991689	0.005488474204171241	0.0	0.010976948408342482	Source_1_up
9	L00845	chicken	chicken	0.00019408517475620038	0.0	0.9998059148252437	0.0	0.0	0.0	0.0	0.0	Source_1_up
10	L00925	chicken	chicken	0.18331503841931943	0.015367727771679473	0.6652030735455543	0.0	0.005488474204171241	0.12403951701427003	0.0	0.006586169045005488	Source_1_up
11	L01029	chicken	chicken	0.00019408517475620038	0.0	0.9998059148252437	0.0	0.0	0.0	0.0	0.0	Source_1_up
12	L01041	cattle	cattle	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
13	L01043	cattle	small ruminants	0.0	0.39681088933780595	0.0	0.0	0.0	0.6031891106621932	0.0	0.0	Source_1_up
14	L01082	chicken	chicken	0.06394424120364472	0.0	0.9360557587963587	0.0	0.0	0.0	0.0	0.0	Source_1_up
15	L01083	cattle	cattle	0.0021953896816684962	0.9473106476399561	0.03512623490669594	0.0	0.0	0.015367727771679473	0.0	0.0	Source_1_up
16	L01114	chicken	chicken	0.06394424120364472	0.0	0.9360557587963587	0.0	0.0	0.0	0.0	0.0	Source_1_up
17	L01161	chicken	chicken	0.009879253567508232	0.0	0.7628979143798024	0.11964873765093303	0.10757409440175632	0.0	0.0	0.0	Source_1_up
18	L01203	aquatic products	aquatic products	0.9418221734357849	0.01756311745334797	0.008781558726673985	0.0	0.0	0.031833150384193196	0.0	0.0	Source_1_up
19	L01271	cattle	cattle	0.0021953896816684962	0.9620380534211489	0.014910354921331869	0.0	0.0	0.020856201975850714	0.0	0.0	Source_1_up
20	L01598	cattle	cattle	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
21	L00291	aquatic products	aquatic products	0.9890230515916575	0.0043907793633369925	0.0043907793633369925	0.0	0.0021953896816684962	0.0	0.0	0.0	Source_1_up
22	L00297	aquatic products	aquatic products	0.9857299670691547	0.0010976948408342481	0.0010976948408342481	0.0	0.012074643249176729	0.0	0.0	0.0	Source_1_up
23	L00336	aquatic products	aquatic products	0.9407244785949506	0.019758507135016465	0.027442371020856202	0.0	0.010976948408342482	0.0010976948408342481	0.0	0.0	Source_1_up
24	L00469	small ruminants	cattle	0.038419319429198684	0.58397365532382	0.06805708013172337	0.0	0.07574094401756312	0.23380900109769484	0.0	0.0	Source_1_up
25	L00500	aquatic products	aquatic products	0.8660812294182217	0.0021953896816684962	0.059275521405049394	0.042810098792535674	0.02854006586169045	0.0010976948408342481	0.0	0.0	Source_1_up
26	L00545	cattle	cattle	0.003293084522502744	0.9795096963044274	0.01609952433223564	0.0010976948408342481	0.0	0.0	0.0	0.0	Source_1_up
27	L00732	chicken	game	0.008781558726673985	0.0010976948408342481	0.43029637760702527	0.4489571899012075	0.11086717892425905	0.0	0.0	0.0	Source_1_up
28	L00734	chicken	chicken	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
29	L00776	chicken	chicken	0.06394424120364472	0.0	0.9360557587963587	0.0	0.0	0.0	0.0	0.0	Source_1_up
30	L00806	chicken	cattle	0.005488474204171241	0.8990120746432492	0.02005787845524399	0.003293084522502744	0.003293084522502744	0.06586169045005488	0.0	0.0029937132022752225	Source_1_up
31	L00841	chicken	chicken	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
32	L00940	chicken	chicken	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
33	L01094	chicken	chicken	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
34	L01121	aquatic products	aquatic products	0.991218441273326	0.0	0.006586169045005488	0.0	0.0021953896816684962	0.0	0.0	0.0	Source_1_up
35	L01123	cattle	cattle	0.04061470911086718	0.5005488474204172	0.24698133918770582	0.0	0.005488474204171241	0.2052689352360044	0.0	0.0010976948408342481	Source_1_up
36	L01308	aquatic products	aquatic products	0.9923161361141603	0.003293084522502744	0.0043907793633369925	0.0	0.0	0.0	0.0	0.0	Source_1_up
37	L00373	turkey	turkey	0.0010976948408342481	0.0	0.0	0.0	0.0	0.0	0.0	0.9989023051591658	Source_1_up
38	L00374	chicken	chicken	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
39	L00414	aquatic products	aquatic products	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
40	L00416	small ruminants	chicken	0.07025246981339188	0.12325204028062807	0.7044646026647282	0.013148475158688493	0.011819835546164413	0.03813296425332888	0.005488474204171241	0.033441138078898786	Source_1_up
41	L00647	swine	cattle	0.01756311745334797	0.8159531650201245	0.0698865715331138	0.0010976948408342481	0.0010976948408342481	0.059275521405049394	0.03512623490669594	0.0	Source_1_up
42	L00650	aquatic products	aquatic products	0.8660812294182217	0.0021953896816684962	0.059275521405049394	0.042810098792535674	0.02854006586169045	0.0010976948408342481	0.0	0.0	Source_1_up
43	L00787	cattle	cattle	0.0	0.9470153154565886	0.05188698970257696	0.0	0.0	0.0010976948408342481	0.0	0.0	Source_1_up
44	L00793	chicken	chicken	0.10647639956092206	0.009879253567508232	0.8761033347931156	0.0	0.0	0.0	0.0	0.00754101207845424	Source_1_up
45	L00869	chicken	chicken	0.006586169045005488	0.0043907793633369925	0.9857299670691547	0.0	0.0	0.0021953896816684962	0.0010976948408342481	0.0	Source_1_up
46	L01052	aquatic products	aquatic products	0.9901207464324918	0.0	0.009879253567508232	0.0	0.0	0.0	0.0	0.0	Source_1_up
47	L01237	chicken	aquatic products	0.6377607025246982	0.027442371020856202	0.042810098792535674	0.0	0.0	0.0	0.29198682766191	0.0	Source_1_up
48	L01261	chicken	chicken	0.019758507135016465	0.0344580728296664	0.9418221734357849	0.0010976948408342481	0.0010976948408342481	0.0006681620770295424	0.0	0.0010976948408342481	Source_1_up
49	L01284	chicken	chicken	0.0	0.003293084522502744	0.991218441273326	0.0	0.0	0.005488474204171241	0.0	0.0	Source_1_up
50	L01468	aquatic products	aquatic products	0.995609220636663	0.0021953896816684962	0.0021953896816684962	0.0	0.0	0.0	0.0	0.0	Source_1_up
51	L00447	turkey	turkey	0.0010976948408342481	0.0010976948408342481	0.005488474204171241	0.0	0.0	0.0	0.0043907793633369925	0.9879253567508233	Source_1_up
52	L00472	chicken	chicken	0.009879253567508232	0.30954994511525796	0.6269269317042906	0.007683863885839737	0.003149906934567842	0.04171240395170143	0.0	0.0010976948408342481	Source_1_up
53	L00719	aquatic products	aquatic products	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
54	L00780	chicken	turkey	0.0	0.0	0.0002863551758698038	0.0	0.0	0.0	0.0	0.9997136448241302	Source_1_up
55	L00939	chicken	turkey	0.050493962678375415	0.0	0.021953896816684963	0.0	0.010976948408342482	0.0	0.0	0.9165751920965971	Source_1_up
56	L01618	cattle	aquatic products	0.4961580680570801	0.1163556531284303	0.26344676180021953	0.0021953896816684962	0.024149286498353458	0.052689352360043906	0.0021953896816684962	0.042810098792535674	Source_1_up
57	L01810	cattle	cattle	0.006586169045005488	0.9656055616538601	0.022319795096963045	0.0	0.0	0.0021953896816684962	0.003293084522502744	0.0	Source_1_up
58	L01859	chicken	cattle	0.02854006586169045	0.6284668862056348	0.17892425905598244	0.0	0.003293084522502744	0.02027076472740578	0.14050493962678376	0.0	Source_1_up
59	L00720	aquatic products	aquatic products	0.9813391877058177	0.013172338090010977	0.0	0.0	0.0	0.005488474204171241	0.0	0.0	Source_1_up
60	L00729	chicken	chicken	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
61	L00815	aquatic products	chicken	0.2052689352360044	0.23929747530186607	0.5310530603937087	0.0010976948408342481	0.001045423657937379	0.0010976948408342481	0.0	0.021139715728814925	Source_1_up
62	L01188	aquatic products	aquatic products	0.5477497255762898	0.043907793633369926	0.40504939626783754	0.0010976948408342481	0.0	0.0	0.0	0.0021953896816684962	Source_1_up
63	L01769	chicken	cattle	0.02854006586169045	0.6284668862056348	0.17892425905598244	0.0	0.003293084522502744	0.02027076472740578	0.14050493962678376	0.0	Source_1_up
64	L01804	chicken	chicken	0.007683863885839737	0.01756311745334797	0.9637760702524698	0.0021953896816684962	0.0	0.005488474204171241	0.0010976948408342481	0.0021953896816684962	Source_1_up
65	L00356	plants	plants	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Source_1_up
66	L00774	aquatic products	aquatic products	0.686059275521405	0.053067597454213154	0.24665987141289	0.0010409175214807526	0.009879253567508232	0.0021953896816684962	0.0010976948408342481	0.0	Source_1_up
67	L00982	cattle	cattle	0.014270032930845226	0.8990120746432492	0.0010976948408342481	0.0010976948408342481	0.0	0.0845225027442371	0.0	0.0	Source_1_up
68	L01057	chicken	chicken	0.0010976948408342481	0.019758507135016465	0.9791437980241493	0.0	0.0	0.0	0.0	0.0	Source_1_up
69	L01584	cattle	aquatic products	0.6169045005488474	0.10624882216809658	0.24809210182426425	0.004312570336215763	0.0043907793633369925	0.01617716396563171	0.0010976948408342481	0.0027763669527729705	Source_1_up
70	L01585	small ruminants	chicken	0.3062568605927552	0.055159165751920966	0.6223624832296621	0.0021953896816684962	0.0	0.010349694213580054	0.0010976948408342481	0.0025787116895788684	Source_1_up
71	L00493	cattle	cattle	0.007683863885839737	0.9388766922795464	0.05014635931211123	0.0	0.0010976948408342481	0.0016204066698029377	0.0	0.0005749830118655585	Source_1_up
72	L00807	cattle	chicken	0.09989023051591657	0.4061653860226857	0.4501660402044592	0.0	0.03512623490669594	0.008652108350242268	0.0	0.0	Source_1_up
73	L00919	cattle	aquatic products	0.3732162458836443	0.2612461450002614	0.3490721865035807	0.0	0.015367727771679473	0.0010976948408342481	0.0	0.0	Source_1_up
74	L00943	cattle	cattle	0.0	0.7277716794731065	0.0	0.0	0.0	0.2722283205268935	0.0	0.0	Source_1_up
75	L01326	cattle	cattle	0.04939626783754116	0.889132821075741	0.059275521405049394	0.0	0.0	0.0010976948408342481	0.0010976948408342481	0.0	Source_1_up
76	L01610	cattle	game	0.11855104281009879	0.03732162458836443	0.09129162092938163	0.5872667398463227	0.07354555433589462	0.09110867178924259	0.0	0.0009147457006952067	Source_1_up
77	L00655	chicken	aquatic products	0.6432491767288694	0.11855104281009879	0.22179892813327307	0.0	0.0010331245560792923	0.0010976948408342481	0.014270032930845226	0.0	Source_1_up
78	L01068	chicken	chicken	0.2645444566410538	0.07903402854006586	0.6465422612513722	0.0	0.0010976948408342481	0.0010976948408342481	0.007683863885839737	0.0	Source_1_up
79	L01078	cattle	cattle	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_1_up
