	samples	labels	predictions	dairy	eel	feces	fresh meat	herring	mackerel	processed meat	salmon	shrimp	spices/herbs/vegetables	trout	experiment
0	L00481	fresh meat	fresh meat	0.0	0.0	0.0	0.9978499761108457	0.0	0.0	0.0006678104504191461	0.0	0.0	0.001482213438735178	0.0	Source_2_up
1	L00496	processed meat	fresh meat	0.0	0.0	0.0	0.5088032050764975	0.0	0.0	0.4896439998924466	0.0	0.0	0.0	0.0015527950310559005	Source_2_up
2	L00574	fresh meat	fresh meat	0.0	0.0	0.0	0.9786198931667104	0.0	0.0	0.021380106833289822	0.0	0.0	0.0	0.0	Source_2_up
3	L00577	fresh meat	fresh meat	0.0	0.0	0.0	0.9757147786650894	0.0	0.0	0.02428522133491078	0.0	0.0	0.0	0.0	Source_2_up
4	L00609	fresh meat	fresh meat	0.0	0.0	0.0015527950310559005	0.9885093167701864	0.003105590062111801	0.0	0.006832298136645963	0.0	0.0	0.0	0.0	Source_2_up
5	L00678	processed meat	processed meat	0.0	0.0	0.0	0.3390380065069508	0.0	0.0	0.6547508133688265	0.004658385093167702	0.0015527950310559005	0.0	0.0	Source_2_up
6	L00728	fresh meat	processed meat	0.0	0.0	0.0	0.4882368192539004	0.0	0.0	0.5117631807460997	0.0	0.0	0.0	0.0	Source_2_up
7	L00753	fresh meat	processed meat	0.0	0.0	0.0	0.0015527950310559005	0.0	0.0	0.9984472049689441	0.0	0.0	0.0	0.0	Source_2_up
8	L00756	fresh meat	processed meat	0.0	0.0	0.0	0.28248936474970343	0.0	0.0	0.7175106352502977	0.0	0.0	0.0	0.0	Source_2_up
9	L01064	trout	trout	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Source_2_up
10	L01067	eel	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2_up
11	L01166	fresh meat	processed meat	0.0	0.0	0.0	0.3048908893821094	0.0	0.0	0.6951091106178922	0.0	0.0	0.0	0.0	Source_2_up
12	L01203	trout	trout	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Source_2_up
13	L01263	fresh meat	fresh meat	0.0	0.0	0.0	0.5512434225168953	0.0	0.0	0.4487565774831052	0.0	0.0	0.0	0.0	Source_2_up
14	L01435	fresh meat	processed meat	0.0	0.0	0.0	0.21364241348713398	0.0	0.0	0.7863575865128659	0.0	0.0	0.0	0.0	Source_2_up
15	L01465	fresh meat	fresh meat	0.0	0.006211180124223602	0.0	0.9430383022774326	0.007763975155279503	0.0	0.022800207039337474	0.010869565217391304	0.0015527950310559005	0.007763975155279503	0.0	Source_2_up
