	samples	labels	predictions	dairy, cattle	eel, aquatic products	feces, small ruminants	fresh meat, cattle	fresh meat, chicken	fresh meat, game	fresh meat, small ruminants	fresh meat, swine	fresh meat, turkey	herring, aquatic products	mackerel, aquatic products	processed meat, cattle	processed meat, chicken	processed meat, swine	processed meat, turkey	salmon, aquatic products	shrimp, aquatic products	spices/herbs/vegetables, plants	trout, aquatic products	experiment
0	L00666	processed meat, chicken	fresh meat, chicken	0.001364256480218281	0.017735334242837655	0.0	0.001364256480218281	0.9468037419606314	0.0	0.0	0.0	0.0	0.0	0.0	0.0068212824010914054	0.01963554862599883	0.0	0.0008185538881309686	0.004092769440654843	0.0	0.001364256480218281	0.0	Source_2n1
1	L00743	fresh meat, chicken	fresh meat, cattle	0.004092769440654843	0.0	0.010914051841746248	0.48021828103683495	0.01227830832196453	0.0	0.07366984993178717	0.0	0.001364256480218281	0.0	0.0010989843868425041	0.28240109140518416	0.09686221009549795	0.0	0.0	0.005722298014248901	0.0	0.004092769440654843	0.027285129604365622	Source_2n1
2	L00935	fresh meat, chicken	fresh meat, chicken	0.0	0.005457025920873124	0.0	0.0	0.8282173715325148	0.0	0.0	0.0	0.0	0.0	0.0	0.01227830832196453	0.15268303774442926	0.0	0.0	0.001364256480218281	0.0	0.0	0.0	Source_2n1
3	L00996	fresh meat, chicken	fresh meat, chicken	0.001364256480218281	0.017735334242837655	0.0	0.001364256480218281	0.9481679984408498	0.0	0.0	0.0	0.0	0.0	0.0	0.0068212824010914054	0.01963554862599883	0.0	0.0008185538881309686	0.004092769440654843	0.0	0.0	0.0	Source_2n1
4	L00997	salmon, aquatic products	salmon, aquatic products	0.0	0.0069349704411095945	0.0	0.005457025920873124	0.059913597089586185	0.0	0.0	0.0	0.017735334242837655	0.002728512960436562	0.001364256480218281	0.12278308321964529	0.03831286948613006	0.0	0.0	0.7012278308321964	0.0	0.017735334242837655	0.025807185084129148	Source_2n1
5	L00999	fresh meat, chicken	fresh meat, chicken	0.0	0.005457025920873124	0.0	0.001364256480218281	0.8323101409731697	0.0	0.0	0.0	0.0	0.0	0.0	0.004092769440654843	0.15200090950432013	0.0	0.0006821282401091405	0.004092769440654843	0.0	0.0	0.0	Source_2n1
6	L01120	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.6371077762619373	0.07662573897226012	0.0	0.001364256480218281	0.0	0.021828103683492497	0.004092769440654843	0.0	0.015006821282401092	0.029786266484765803	0.0	0.0	0.020463847203274217	0.0068212824010914054	0.015006821282401092	0.17189631650750342	Source_2n1
7	L01168	fresh meat, cattle	fresh meat, chicken	0.0	0.017735334242837655	0.0	0.001364256480218281	0.9530793217696356	0.0	0.0	0.0	0.0	0.001364256480218281	0.0	0.002728512960436562	0.01963554862599883	0.0	0.0	0.004092769440654843	0.0	0.0	0.0	Source_2n1
8	L01301	fresh meat, chicken	fresh meat, chicken	0.0	0.0068212824010914054	0.0	0.0	0.9451211589683622	0.0	0.0	0.0	0.0	0.0	0.0	0.002728512960436562	0.042600532709673226	0.0	0.0	0.002728512960436562	0.0	0.0	0.0	Source_2n1
9	L01307	fresh meat, chicken	fresh meat, chicken	0.0	0.005457025920873124	0.0	0.002728512960436562	0.9774897680763985	0.0	0.0	0.0	0.0	0.0	0.0	0.002728512960436562	0.011596180081855388	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1
10	L01367	fresh meat, chicken	processed meat, cattle	0.0	0.0	0.11596180081855388	0.32878581173260574	0.13233287858117326	0.0	0.0	0.0	0.0	0.0	0.0	0.4051841746248295	0.017735334242837655	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1
11	L00289	trout, aquatic products	salmon, aquatic products	0.0	0.0	0.0	0.0	0.021214188267394272	0.0	0.0	0.0	0.0	0.001364256480218281	0.0	0.001364256480218281	0.011527967257844473	0.0	0.0	0.7776261937244202	0.0	0.001364256480218281	0.1855388813096862	Source_2n1
12	L00304	salmon, aquatic products	salmon, aquatic products	0.0	0.0	0.0	0.0	0.001364256480218281	0.0	0.0	0.0	0.0	0.001364256480218281	0.0	0.001364256480218281	0.0	0.0	0.0	0.8035470668485676	0.0	0.001364256480218281	0.19099590723055934	Source_2n1
13	L00465	processed meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.7798544793087768	0.045020463847203276	0.0	0.06002728512960437	0.0	0.0	0.0	0.0	0.08371987266939518	0.0	0.021828103683492497	0.0	0.0	0.0	0.0	0.009549795361527967	Source_2n1
14	L00488	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.8872214643019555	0.04456571168713052	0.001364256480218281	0.0068212824010914054	0.001364256480218281	0.001364256480218281	0.0	0.0	0.036834924965893585	0.0	0.001364256480218281	0.0	0.019099590723055934	0.0	0.0	0.0	Source_2n1
15	L00622	herring, aquatic products	herring, aquatic products	0.0	0.04365620736698499	0.0	0.004092769440654843	0.2291950886766712	0.0	0.0	0.001364256480218281	0.0	0.5402455661664393	0.012473202104852855	0.005457025920873124	0.08185538881309687	0.0	0.0	0.03254726174235042	0.005457025920873124	0.04229195088676671	0.001364256480218281	Source_2n1
16	L00636	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.9959072305593452	0.004092769440654843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1
17	L00673	processed meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.002728512960436562	0.8707760726870352	0.0	0.0	0.001364256480218281	0.0	0.0	0.0	0.001364256480218281	0.12240264491187558	0.0	0.0	0.001364256480218281	0.0	0.0	0.0	Source_2n1
18	L00750	processed meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.0	0.8752167652159543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1247832347840479	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1
19	L00760	mackerel, aquatic products	fresh meat, chicken	0.0	0.21691678035470668	0.0	0.0	0.48021828103683495	0.0	0.0	0.001364256480218281	0.0	0.01637107776261937	0.0	0.0	0.019099590723055934	0.001364256480218281	0.0	0.2373806275579809	0.0	0.02592087312414734	0.001364256480218281	Source_2n1
20	L00813	processed meat, chicken	processed meat, chicken	0.0	0.001364256480218281	0.002728512960436562	0.005457025920873124	0.18963165075034105	0.001364256480218281	0.004092769440654843	0.0	0.0	0.001364256480218281	0.0	0.0068212824010914054	0.7858117326057299	0.0	0.0	0.0	0.0	0.001364256480218281	0.0	Source_2n1
