	samples	labels	predictions	dairy, cattle	eel, aquatic products	feces, small ruminants	fresh meat, cattle	fresh meat, chicken	fresh meat, game	fresh meat, small ruminants	fresh meat, swine	fresh meat, turkey	herring, aquatic products	mackerel, aquatic products	processed meat, cattle	processed meat, chicken	processed meat, swine	processed meat, turkey	salmon, aquatic products	shrimp, aquatic products	spices/herbs/vegetables, plants	trout, aquatic products	experiment
0	L00666	processed meat, chicken	fresh meat, chicken	0.0	0.034722222222222224	0.0	0.0	0.8968309082892415	0.0	0.0	0.0	0.0	0.0	0.0	0.006944444444444444	0.05455798059964727	0.0	0.0	0.006944444444444444	0.0	0.0	0.0	Source_2n1_up
1	L00743	fresh meat, chicken	fresh meat, cattle	0.0	0.0	0.003472222222222222	0.4618055555555556	0.003472222222222222	0.0	0.10416666666666667	0.0	0.0	0.0	0.0	0.2708333333333333	0.13194444444444445	0.0	0.0	0.006944444444444444	0.0	0.0	0.017361111111111112	Source_2n1_up
2	L00935	fresh meat, chicken	fresh meat, chicken	0.0	0.006944444444444444	0.0	0.0	0.7025462962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.017361111111111112	0.26620370370370366	0.0	0.0	0.003472222222222222	0.0	0.003472222222222222	0.0	Source_2n1_up
3	L00996	fresh meat, chicken	fresh meat, chicken	0.0	0.034722222222222224	0.0	0.0	0.8968309082892415	0.0	0.0	0.0	0.0	0.0	0.0	0.006944444444444444	0.05455798059964727	0.0	0.0	0.006944444444444444	0.0	0.0	0.0	Source_2n1_up
4	L00997	salmon, aquatic products	salmon, aquatic products	0.0	0.003472222222222222	0.0	0.003472222222222222	0.014423076923076924	0.0	0.003472222222222222	0.0	0.006944444444444444	0.0	0.0	0.0763888888888889	0.009882478632478632	0.0	0.0	0.875	0.0	0.0	0.006944444444444444	Source_2n1_up
5	L00999	fresh meat, chicken	fresh meat, chicken	0.0	0.006944444444444444	0.0	0.0	0.7060185185185185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28009259259259256	0.0	0.0	0.006944444444444444	0.0	0.0	0.0	Source_2n1_up
6	L01120	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.8958333333333334	0.013888888888888888	0.0	0.0	0.0	0.006944444444444444	0.0	0.0	0.010416666666666666	0.013888888888888888	0.0	0.0	0.003472222222222222	0.0	0.0	0.05555555555555555	Source_2n1_up
7	L01168	fresh meat, cattle	fresh meat, chicken	0.0	0.03125	0.0	0.0	0.9037753527336859	0.0	0.0	0.0	0.0	0.0	0.0	0.003472222222222222	0.05455798059964727	0.0	0.0	0.006944444444444444	0.0	0.0	0.0	Source_2n1_up
8	L01301	fresh meat, chicken	fresh meat, chicken	0.0	0.027777777777777776	0.0	0.0	0.8700810185185185	0.0	0.0	0.0	0.0	0.0	0.0	0.003472222222222222	0.09519675925925924	0.0	0.0	0.003472222222222222	0.0	0.0	0.0	Source_2n1_up
9	L01307	fresh meat, chicken	fresh meat, chicken	0.0	0.010416666666666666	0.0	0.0	0.9607638888888889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028819444444444446	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
