	samples	labels	predictions	aaaa	bbb	bbbbb	ccc	ddd	dddd	gg	ggg	hhh	hhhh	iii	iiii	j	jj	jjj	kk	kkk	mmm	nnnn	ooo	q	qq	rr	s	tt	uuuu	v	wwww	x	xxxx	experiment
0	L00436	hhh	ooo	0.0	0.0	0.09549071618037135	0.002652519893899204	0.0	0.0	0.0	0.03183023872679045	0.01856763925729443	0.042440318302387266	0.0	0.007957559681697613	0.0	0.034482758620689655	0.007957559681697613	0.0	0.0	0.08753315649867374	0.005647814403274949	0.4986737400530504	0.0	0.023872679045092837	0.0	0.005305039787798408	0.129973474801061	0.002652519893899204	0.0	0.002309745278422665	0.0	0.002652519893899204	Source_3_up
1	L00658	bbbbb	bbbbb	0.0	0.0	0.9973474801061007	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
2	L00666	mmm	iii	0.0	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9946949602122016	0.0	0.0	0.0	0.0	0.0	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
3	L00711	hhh	mmm	0.0	0.0	0.14058355437665782	0.005305039787798408	0.0	0.0	0.0	0.10610079575596817	0.09549071618037135	0.08222811671087533	0.0	0.026525198938992044	0.0	0.013262599469496022	0.0	0.0	0.0	0.2440318302387268	0.002652519893899204	0.06896551724137931	0.0	0.05570291777188329	0.0	0.010610079575596816	0.14058355437665782	0.005305039787798408	0.0	0.0	0.0	0.002652519893899204	Source_3_up
4	L00826	kkk	kkk	0.0	0.0	0.0	0.21114019999462041	0.0	0.0	0.0	0.0	0.0	0.0	0.10438300633592934	0.0	0.0	0.0	0.0	0.0	0.6241748117343692	0.060301981935080066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
5	L00846	s	s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
6	L00909	ooo	tt	0.0	0.002652519893899204	0.003003922102065338	0.0	0.10344827586206896	0.0	0.002652519893899204	0.01639404656646036	0.002652519893899204	0.0	0.005305039787798408	0.002652519893899204	0.0	0.002652519893899204	0.0	0.004953637579632275	0.0	0.0	0.0	0.002652519893899204	0.0	0.00217359269083407	0.0	0.0	0.8488063660477454	0.0	0.0	0.0	0.0	0.0	Source_3_up
7	L00922	jj	jj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
8	L00946	ggg	rr	0.0	0.0	0.3622273456939987	0.0	0.0	0.0	0.0	0.0	0.002652519893899204	0.0	0.015915119363395226	0.0	0.0	0.026525198938992044	0.0	0.0	0.013262599469496022	0.15119363395225463	0.0	0.0	0.0	0.0	0.42026602300626636	0.007957559681697613	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
9	L01041	kk	ddd	0.0	0.026525198938992044	0.2493368700265252	0.0	0.3687002652519894	0.0	0.007957559681697613	0.2891246684350133	0.0	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.002652519893899204	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	0.015915119363395226	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	Source_3_up
10	L01166	tt	kk	0.0	0.0	0.13346575541971317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8665342445802867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
11	L01582	hhh	hhh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
12	L00673	ccc	ccc	0.0	0.0	0.0	0.5997745788216499	0.0028565598857376046	0.0	0.0	0.0077535196898592135	0.005305039787798408	0.0	0.0	0.0	0.0	0.3790052620271555	0.0	0.005305039787798408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
13	L00847	uuuu	uuuu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9973474801061007	0.0	0.0	0.0	0.0	Source_3_up
14	L00856	mmm	mmm	0.0	0.0	0.002652519893899204	0.0	0.010610079575596816	0.0	0.0	0.005305039787798408	0.0	0.0	0.002652519893899204	0.0	0.0	0.0	0.002652519893899204	0.0	0.0	0.9230769230769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05305039787798409	0.0	0.0	0.0	0.0	Source_3_up
15	L01031	nnnn	nnnn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.739683459079547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26031654092045237	0.0	0.0	Source_3_up
16	L01092	iiii	s	0.0	0.0	0.11555039787798409	0.0	0.0	0.0	0.0	0.0	0.007957559681697613	0.0	0.023872679045092837	0.0	0.0	0.029177718832891247	0.0	0.0	0.010610079575596816	0.15119363395225463	0.0	0.0	0.0	0.0	0.0011604774535809018	0.6604774535809018	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
17	L00373	iii	iii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8488063660477454	0.0	0.0	0.0	0.0	0.0	0.0	0.15119363395225463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
18	L00715	ddd	ddd	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
19	L00775	jj	ccc	0.0	0.0	0.0	0.6229196939869183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3770803060130805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
20	L00877	jj	jj	0.0	0.0	0.0	0.0	0.0	0.0	0.007957559681697613	0.0	0.0	0.0	0.0	0.0	0.0	0.9893899204244032	0.0	0.0	0.0	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
21	L00927	dddd	dddd	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3_up
