	samples	labels	predictions	aquatic products	cattle	chicken	game	plants	small ruminants	swine	turkey	experiment
0	L80	chicken	chicken	0.19363395225464192	0.010610079575596816	0.7718832891246684	0.0	0.002652519893899204	0.021220159151193633	0.0	0.0	Source_1
1	L00351	plants	plants	0.05570291777188329	0.15266725611553197	0.10079575596816977	0.002652519893899204	0.6684350132625995	0.0038314176245210726	0.002652519893899204	0.013262599469496022	Source_1
2	L00363	cattle	cattle	0.021220159151193633	0.946949602122016	0.029177718832891247	0.0	0.0	0.0	0.0	0.002652519893899204	Source_1
3	L00574	cattle	cattle	0.010610079575596816	0.9180813439434128	0.06180371352785146	0.0	0.0	0.0008841732979664014	0.005305039787798408	0.0033156498673740055	Source_1
4	L00656	turkey	turkey	0.04083220713233106	0.026525198938992044	0.3570457769525496	0.0	0.0	0.0	0.002652519893899204	0.5729442970822282	Source_1
5	L00658	cattle	cattle	0.0	0.9973474801061007	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	Source_1
6	L00712	chicken	chicken	0.0003031451307313376	0.0	0.9996968548692687	0.0	0.0	0.0	0.0	0.0	Source_1
7	L00804	chicken	chicken	0.0	0.1941256061945718	0.8058743938054284	0.0	0.0	0.0	0.0	0.0	Source_1
8	L00840	chicken	aquatic products	0.5464190981432361	0.10344827586206896	0.3076923076923077	0.0	0.015915119363395226	0.007957559681697613	0.0	0.01856763925729443	Source_1
9	L00845	chicken	chicken	0.0003031451307313376	0.0	0.9996968548692687	0.0	0.0	0.0	0.0	0.0	Source_1
10	L00925	chicken	chicken	0.19363395225464192	0.010610079575596816	0.7718832891246684	0.0	0.002652519893899204	0.021220159151193633	0.0	0.0	Source_1
11	L01029	chicken	chicken	0.0003031451307313376	0.0	0.9996968548692687	0.0	0.0	0.0	0.0	0.0	Source_1
12	L01041	cattle	cattle	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_1
13	L01043	cattle	cattle	0.0	0.8334986263368226	0.002652519893899204	0.0	0.0	0.16384885376927835	0.0	0.0	Source_1
14	L01082	chicken	chicken	0.06478926774535419	0.0	0.935210732254646	0.0	0.0	0.0	0.0	0.0	Source_1
15	L01083	cattle	cattle	0.002652519893899204	0.9257294429708223	0.0610079575596817	0.0	0.0	0.010610079575596816	0.0	0.0	Source_1
16	L01114	chicken	chicken	0.06478926774535419	0.0	0.935210732254646	0.0	0.0	0.0	0.0	0.0	Source_1
17	L01161	chicken	chicken	0.021220159151193633	0.013262599469496022	0.8037135278514589	0.0636604774535809	0.07692307692307693	0.0	0.021220159151193633	0.0	Source_1
