	samples	labels	predictions	dairy	eel	feces	fresh meat	herring	mackerel	processed meat	salmon	shrimp	spices/herbs/vegetables	trout	experiment
0	L00481	fresh meat	fresh meat	0.0	0.0	0.0	0.998755	0.0	0.0	0.001245	0.0	0.0	0.0	0.0	Source_2
1	L00496	processed meat	fresh meat	0.0	0.0	0.0	0.6663152597402591	0.0	0.0	0.33168474025973993	0.0	0.0	0.0	0.002	Source_2
2	L00574	fresh meat	fresh meat	0.0	0.0	0.0	0.9873439532689533	0.0	0.0	0.012656046731046726	0.0	0.0	0.0	0.0	Source_2
3	L00577	fresh meat	fresh meat	0.0	0.0	0.0	0.9861976190476192	0.0	0.0	0.013802380952380953	0.0	0.0	0.0	0.0	Source_2
4	L00609	fresh meat	fresh meat	0.0	0.0	0.001	0.978	0.002	0.0	0.017	0.001	0.0	0.001	0.0	Source_2
5	L00678	processed meat	fresh meat	0.0	0.0	0.0	0.4960904761904758	0.001	0.001	0.4729095238095242	0.025	0.003	0.001	0.0	Source_2
6	L00728	fresh meat	fresh meat	0.0	0.0	0.0	0.6011125346875349	0.0	0.0	0.3988874653124648	0.0	0.0	0.0	0.0	Source_2
7	L00753	fresh meat	processed meat	0.0	0.0	0.0	0.013	0.0	0.0	0.987	0.0	0.0	0.0	0.0	Source_2
8	L00756	fresh meat	fresh meat	0.0	0.0	0.0	0.5037880647130647	0.0	0.0	0.49621193528693547	0.0	0.0	0.0	0.0	Source_2
9	L01064	trout	trout	0.0	0.0	0.0	0.0018483516483516482	0.0	0.0	0.0031516483516483514	0.313	0.0	0.0	0.682	Source_2
10	L01067	eel	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
11	L01166	fresh meat	fresh meat	0.0	0.0	0.0	0.5043996503496503	0.001	0.0	0.49460034965034977	0.0	0.0	0.0	0.0	Source_2
12	L01203	trout	trout	0.0	0.0	0.0	0.03	0.0	0.001	0.033	0.001	0.0	0.0	0.935	Source_2
13	L01263	fresh meat	fresh meat	0.0	0.0	0.0	0.7578102997492703	0.0	0.0	0.2421897002507301	0.0	0.0	0.0	0.0	Source_2
14	L01435	fresh meat	processed meat	0.0	0.0	0.0	0.26095714285714283	0.0	0.0	0.7390428571428572	0.0	0.0	0.0	0.0	Source_2
15	L01465	fresh meat	fresh meat	0.0	0.009	0.0	0.9393333333333334	0.017	0.002	0.008666666666666666	0.009	0.001	0.014	0.0	Source_2
16	L01604	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
17	L01607	processed meat	processed meat	0.0	0.0	0.0	0.49045833333333383	0.0	0.0	0.5095416666666661	0.0	0.0	0.0	0.0	Source_2
18	L00296	salmon	salmon	0.0	0.0	0.0	0.001	0.003	0.001	0.004	0.99	0.0	0.001	0.0	Source_2
19	L00304	salmon	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.732	0.0	0.0	0.268	Source_2
20	L00336	salmon	salmon	0.00125	0.009	0.0	0.10708333333333332	0.0	0.00425	0.058666666666666666	0.76375	0.001	0.001	0.054	Source_2
21	L00370	processed meat	fresh meat	0.0	0.0	0.0	0.5037880647130647	0.0	0.0	0.49621193528693547	0.0	0.0	0.0	0.0	Source_2
22	L00430	fresh meat	processed meat	0.0	0.002	0.0	0.31295	0.002	0.003	0.61105	0.039	0.0	0.027	0.003	Source_2
23	L00441	feces	fresh meat	0.004416666666666666	0.0	0.002	0.9755833333333334	0.0	0.0	0.001	0.0	0.001	0.004	0.012	Source_2
