	samples	labels	predictions	aaaa	bbb	bbbbb	ccc	ddd	dddd	gg	ggg	hhh	hhhh	iii	iiii	j	jj	jjj	kk	kkk	mmm	nnnn	ooo	q	qq	rr	s	tt	uuuu	v	wwww	x	xxxx	experiment
0	L00436	hhh	ooo	0.0	0.0	0.101	0.0	0.002	0.001	0.001	0.067	0.02	0.048	0.0	0.013	0.0	0.043	0.003	0.0	0.0005	0.1485	0.0018666666666666666	0.314	0.0	0.041	0.0	0.011	0.163	0.016	0.0	0.0003333333333333333	0.0008	0.004	Source_3
1	L00658	bbbbb	bbbbb	0.0	0.0065	0.637	0.0	0.1455	0.001	0.018	0.124	0.0	0.0	0.001	0.004	0.0	0.005	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.004	0.016	0.0	0.0	0.0	0.0	0.0	Source_3
2	L00666	mmm	iii	0.0	0.0	0.09966666666666665	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.621	0.0	0.0	0.042	0.0	0.0	0.011	0.2	0.0	0.0	0.0	0.0	0.0003333333333333333	0.016	0.0	0.0	0.0	0.0	0.0	0.0	Source_3
3	L00711	hhh	mmm	0.0	0.0	0.108	0.0	0.0	0.002	0.001	0.113	0.038	0.104	0.0	0.03	0.0	0.022	0.0	0.0	0.0	0.274	0.0	0.081	0.0	0.056	0.0	0.015	0.127	0.022	0.0	0.001	0.0	0.006	Source_3
4	L00826	kkk	kkk	0.0	0.0	0.0	0.13816099603011386	0.0	0.0	0.0	0.0	0.0	0.0	0.2903329707057651	0.0	0.0	0.0	0.0	0.0	0.43415331172095867	0.13735272154316294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3
5	L00846	s	s	0.0	0.001	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	Source_3
6	L00909	ooo	tt	0.0	0.04216666666666667	0.0285	0.0	0.09683333333333334	0.0	0.003	0.039299999999999995	0.003	0.0	0.003	0.001	0.0	0.002	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0007	0.003	0.0	0.773	0.002	0.0	0.0	0.0	0.0	Source_3
7	L00922	jj	jj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3
8	L00946	ggg	bbbbb	0.0	0.0	0.40093333333333325	0.0	0.0	0.0	0.0	0.001	0.008	0.0	0.027	0.0	0.0	0.044	0.0	0.0	0.019	0.2	0.0	0.0	0.0	0.0	0.2900666666666666	0.01	0.0	0.0	0.0	0.0	0.0	0.0	Source_3
9	L01041	kk	ddd	0.0	0.03133333333333333	0.19533333333333333	0.0	0.35966666666666663	0.0	0.02	0.262	0.0	0.0	0.005	0.006	0.0	0.003	0.0	0.06466666666666666	0.0	0.0	0.0005	0.0	0.0	0.0	0.001	0.009	0.042	0.0	0.0	0.0	0.0005	0.0	Source_3
10	L01166	tt	kk	0.0	0.003	0.33384999999999965	0.0	0.002	0.001	0.0	0.007714285714285714	0.0	0.0	0.0005	0.001	0.0	0.002	0.0	0.6451500000000002	0.0	0.0025	0.0	0.0	0.0	0.0002857142857142857	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3
11	L01582	hhh	hhh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_3
12	L00673	ccc	jj	0.0	0.0	0.0	0.17755923923427827	0.0026666666666666666	0.0	0.0	0.0013333333333333333	0.001	0.001	0.0	0.0	0.0	0.8134407607657221	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	Source_3
13	L00847	uuuu	uuuu	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.002	0.0	0.123	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.006	0.0	0.001	0.0	0.002	0.0	0.0	0.003	0.78	0.0	0.001	0.0	0.0	Source_3
14	L00856	mmm	mmm	0.0	0.0	0.002	0.0	0.009	0.0	0.0	0.004	0.0	0.0	0.012	0.0	0.0	0.0	0.019	0.001	0.0	0.889	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.06	0.0	0.0	0.0	0.0	Source_3
