		Without up sampling			With up sampling		
Source	Nr. of isolates	Precision	Recall	F1-score	Precision	Recall	F1-score
aaaa	5	0.375	0.6	0.462	0.375	0.6	0.462
bbb	14	0.917	0.786	0.846	0.846	0.786	0.815
bbbbb	11	0.5	0.364	0.421	0.5	0.364	0.421
ccc	11	0.8	0.364	0.5	0.357	0.455	0.4
ddd	21	0.545	0.286	0.375	0.5	0.286	0.364
dddd	36	0.914	0.889	0.901	0.889	0.889	0.889
gg	12	0.9	0.75	0.818	0.75	0.75	0.75
ggg	31	0.455	0.484	0.469	0.423	0.355	0.386
hhh	24	0.571	0.5	0.533	0.545	0.5	0.522
hhhh	22	0.593	0.727	0.653	0.429	0.273	0.333
iii	26	0.6	0.577	0.588	0.6	0.577	0.588
iiii	14	0.8	0.571	0.667	0.8	0.571	0.667
j	6	0.6	0.5	0.545	0.5	0.5	0.5
jj	78	0.647	0.846	0.733	0.633	0.641	0.637
jjj	8	0.5	0.375	0.429	0.3	0.375	0.333
kk	9	0.125	0.111	0.118	0	0	0
kkk	9	0.333	0.444	0.381	0.333	0.444	0.381
mmm	40	0.468	0.55	0.506	0.439	0.45	0.444
nnnn	15	0.813	0.867	0.839	0.813	0.867	0.839
ooo	7	0.8	0.571	0.667	0.667	0.571	0.615
q	7	0	0	0	0.2	0.571	0.296
qq	9	0.4	0.222	0.286	0.143	0.222	0.174
rr	9	0	0	0	0	0	0
s	14	0.765	0.929	0.839	0.765	0.929	0.839
tt	12	0.417	0.417	0.417	0.25	0.25	0.25
uuuu	12	0.6	0.75	0.667	0.583	0.583	0.583
v	6	1	1	1	1	1	1
wwww	6	1	0.833	0.909	1	0.833	0.909
x	5	0.833	1	0.909	0.833	1	0.909
xxxx	5	0.75	0.6	0.667	0.6	0.6	0.6
Average		0.601	0.564	0.571	0.536	0.541	0.53
Weighted average		0.614	0.618	0.606	0.562	0.548	0.549
