	precision	recall	f1-score	support	experiment
aaaa	0.375	0.6	0.4615384615384615	5.0	Source_3
bbb	0.9166666666666666	0.7857142857142857	0.8461538461538461	14.0	Source_3
bbbbb	0.5	0.36363636363636365	0.4210526315789474	11.0	Source_3
ccc	0.8	0.36363636363636365	0.5000000000000001	11.0	Source_3
ddd	0.5454545454545454	0.2857142857142857	0.37499999999999994	21.0	Source_3
dddd	0.9142857142857143	0.8888888888888888	0.9014084507042254	36.0	Source_3
gg	0.9	0.75	0.8181818181818182	12.0	Source_3
ggg	0.45454545454545453	0.4838709677419355	0.46874999999999994	31.0	Source_3
hhh	0.5714285714285714	0.5	0.5333333333333333	24.0	Source_3
hhhh	0.5925925925925926	0.7272727272727273	0.6530612244897959	22.0	Source_3
iii	0.6	0.5769230769230769	0.5882352941176471	26.0	Source_3
iiii	0.8	0.5714285714285714	0.6666666666666666	14.0	Source_3
j	0.6	0.5	0.5454545454545454	6.0	Source_3
jj	0.6470588235294118	0.8461538461538461	0.7333333333333334	78.0	Source_3
jjj	0.5	0.375	0.42857142857142855	8.0	Source_3
kk	0.125	0.1111111111111111	0.11764705882352941	9.0	Source_3
kkk	0.3333333333333333	0.4444444444444444	0.380952380952381	9.0	Source_3
mmm	0.46808510638297873	0.55	0.5057471264367817	40.0	Source_3
nnnn	0.8125	0.8666666666666667	0.8387096774193549	15.0	Source_3
ooo	0.8	0.5714285714285714	0.6666666666666666	7.0	Source_3
q	0.0	0.0	0.0	7.0	Source_3
qq	0.4	0.2222222222222222	0.2857142857142857	9.0	Source_3
rr	0.0	0.0	0.0	9.0	Source_3
s	0.7647058823529411	0.9285714285714286	0.8387096774193549	14.0	Source_3
tt	0.4166666666666667	0.4166666666666667	0.4166666666666667	12.0	Source_3
uuuu	0.6	0.75	0.6666666666666665	12.0	Source_3
v	1.0	1.0	1.0	6.0	Source_3
wwww	1.0	0.8333333333333334	0.9090909090909091	6.0	Source_3
x	0.8333333333333334	1.0	0.9090909090909091	5.0	Source_3
xxxx	0.75	0.6	0.6666666666666665	5.0	Source_3
accuracy	0.6177685950413223	0.6177685950413223	0.6177685950413223	0.6177685950413223	Source_3
macro avg	0.6006885563524069	0.5637561273851597	0.5714356575246075	484.0	Source_3
weighted avg	0.6135298302781351	0.6177685950413223	0.6059255103249156	484.0	Source_3
