		Without up sampling			With up sampling		
Source	Nr. of isolates	Precision	Recall	F1-score	Precision	Recall	F1-score
aquatic products	217	0.813	0.88	0.845	0.803	0.866	0.834
cattle	271	0.783	0.827	0.804	0.802	0.808	0.805
chicken	347	0.839	0.859	0.849	0.862	0.793	0.826
game	5	0	0	0	0	0	0
plants	20	0.417	0.25	0.313	0.294	0.25	0.27
small ruminants	35	0.3	0.171	0.218	0.171	0.171	0.171
swine	18	0.778	0.389	0.519	0.538	0.389	0.452
turkey	34	0.778	0.618	0.689	0.481	0.735	0.581
Mean		0.588	0.499	0.53	0.494	0.502	0.492
Weighted mean		0.781	0.794	0.784	0.77	0.766	0.766
